Scenario_ID,AttackTree_ID,Step,Step_num,Technique_ID,Technique_Name_J,Asset,Pi,DS_Total,DS_Selected,Maturity,Mi,Base_Risk,R_prev,Propagation_Term,Ri,Sector_Add,R_total
BoE-S1,44,S1,1,T1078.002,Domain Accounts,Windows Surface for GIGA terminal,0.9,3,3,1,0.1,0.09,0,1,0.09,0,0.09889461
BoE-S1,44,S2,2,T1027,Obfuscated Files or Information,"""AD OnPremise"",",0.9,10,10,1,0.1,0.09,0.09,1.09,0.0981,0,0.09889461
BoE-S1,44,S3,3,T1055.001,Dynamic-link Library Injection,Gakushu Server OnCloud,0.9,5,5,1,0.1,0.09,0.0981,1.0981,0.098829,0,0.09889461
BoE-S1,44,S4,4,T1486,Data Encrypted for Impact,"""Cloud Storage"",",0.9,6,6,1,0.1,0.09,0.098829,1.098829,0.09889461,0,0.09889461
BoE-S1,45,S1,1,T1078.002,Domain Accounts,Windows Surface for GIGA terminal,0.9,3,3,1,0.1,0.09,0,1,0.09,0,0.09889461
BoE-S1,45,S2,2,T1027,Obfuscated Files or Information,"""AD OnPremise"",",0.9,10,10,1,0.1,0.09,0.09,1.09,0.0981,0,0.09889461
BoE-S1,45,S3,3,T1055.001,Dynamic-link Library Injection,Gakushu Server OnCloud,0.9,5,5,1,0.1,0.09,0.0981,1.0981,0.098829,0,0.09889461
BoE-S1,45,S4,4,T1489,Service Stop,"""Cloud Storage"",",0.9,7,7,1,0.1,0.09,0.098829,1.098829,0.09889461,0,0.09889461
BoE-S1,46,S1,1,T1078.002,Domain Accounts,Windows Surface for GIGA terminal,0.9,3,3,1,0.1,0.09,0,1,0.09,0,0.09889461
BoE-S1,46,S2,2,T1027.001,Binary Padding,"""AD OnPremise"",",0.9,1,1,1,0.1,0.09,0.09,1.09,0.0981,0,0.09889461
BoE-S1,46,S3,3,T1053.005,Scheduled Task,Gakushu Server OnCloud,0.9,7,7,1,0.1,0.09,0.0981,1.0981,0.098829,0,0.09889461
BoE-S1,46,S4,4,T1485,Data Destruction,"""Cloud Storage"",",0.9,10,10,1,0.1,0.09,0.098829,1.098829,0.09889461,0,0.09889461
BoE-S1,47,S1,1,T1078.002,Domain Accounts,Windows Surface for GIGA terminal,0.9,3,3,1,0.1,0.09,0,1,0.09,0,0.09889461
BoE-S1,47,S2,2,T1027.001,Binary Padding,"""AD OnPremise"",",0.9,1,1,1,0.1,0.09,0.09,1.09,0.0981,0,0.09889461
BoE-S1,47,S3,3,T1053.005,Scheduled Task,Gakushu Server OnCloud,0.9,7,7,1,0.1,0.09,0.0981,1.0981,0.098829,0,0.09889461
BoE-S1,47,S4,4,T1486,Data Encrypted for Impact,"""Cloud Storage"",",0.9,6,6,1,0.1,0.09,0.098829,1.098829,0.09889461,0,0.09889461
BoE-S1,48,S1,1,T1078.002,Domain Accounts,Windows Surface for GIGA terminal,0.9,3,3,1,0.1,0.09,0,1,0.09,0,0.09889461
BoE-S1,48,S2,2,T1027.001,Binary Padding,"""AD OnPremise"",",0.9,1,1,1,0.1,0.09,0.09,1.09,0.0981,0,0.09889461
BoE-S1,48,S3,3,T1053.005,Scheduled Task,Gakushu Server OnCloud,0.9,7,7,1,0.1,0.09,0.0981,1.0981,0.098829,0,0.09889461
BoE-S1,48,S4,4,T1489,Service Stop,"""Cloud Storage"",",0.9,7,7,1,0.1,0.09,0.098829,1.098829,0.09889461,0,0.09889461
BoE-S1,49,S1,1,T1078.002,Domain Accounts,Windows Surface for GIGA terminal,0.9,3,3,1,0.1,0.09,0,1,0.09,0,0.09889461
BoE-S1,49,S2,2,T1027.001,Binary Padding,"""AD OnPremise"",",0.9,1,1,1,0.1,0.09,0.09,1.09,0.0981,0,0.09889461
BoE-S1,49,S3,3,T1068,Exploitation for Privilege Escalation,Gakushu Server OnCloud,0.9,2,2,1,0.1,0.09,0.0981,1.0981,0.098829,0,0.09889461
BoE-S1,49,S4,4,T1485,Data Destruction,"""Cloud Storage"",",0.9,10,10,1,0.1,0.09,0.098829,1.098829,0.09889461,0,0.09889461
BoE-S1,50,S1,1,T1078.002,Domain Accounts,Windows Surface for GIGA terminal,0.9,3,3,1,0.1,0.09,0,1,0.09,0,0.09889461
BoE-S1,50,S2,2,T1027.001,Binary Padding,"""AD OnPremise"",",0.9,1,1,1,0.1,0.09,0.09,1.09,0.0981,0,0.09889461
BoE-S1,50,S3,3,T1068,Exploitation for Privilege Escalation,Gakushu Server OnCloud,0.9,2,2,1,0.1,0.09,0.0981,1.0981,0.098829,0,0.09889461
BoE-S1,50,S4,4,T1486,Data Encrypted for Impact,"""Cloud Storage"",",0.9,6,6,1,0.1,0.09,0.098829,1.098829,0.09889461,0,0.09889461
BoE-S1,51,S1,1,T1078.002,Domain Accounts,Windows Surface for GIGA terminal,0.9,3,3,1,0.1,0.09,0,1,0.09,0,0.09889461
BoE-S1,51,S2,2,T1027.001,Binary Padding,"""AD OnPremise"",",0.9,1,1,1,0.1,0.09,0.09,1.09,0.0981,0,0.09889461
BoE-S1,51,S3,3,T1068,Exploitation for Privilege Escalation,Gakushu Server OnCloud,0.9,2,2,1,0.1,0.09,0.0981,1.0981,0.098829,0,0.09889461
BoE-S1,51,S4,4,T1489,Service Stop,"""Cloud Storage"",",0.9,7,7,1,0.1,0.09,0.098829,1.098829,0.09889461,0,0.09889461
BoE-S1,52,S1,1,T1078.002,Domain Accounts,Windows Surface for GIGA terminal,0.9,3,3,1,0.1,0.09,0,1,0.09,0,0.09889461
BoE-S1,52,S2,2,T1027.001,Binary Padding,"""AD OnPremise"",",0.9,1,1,1,0.1,0.09,0.09,1.09,0.0981,0,0.09889461
BoE-S1,52,S3,3,T1055.001,Dynamic-link Library Injection,Gakushu Server OnCloud,0.9,5,5,1,0.1,0.09,0.0981,1.0981,0.098829,0,0.09889461
BoE-S1,52,S4,4,T1485,Data Destruction,"""Cloud Storage"",",0.9,10,10,1,0.1,0.09,0.098829,1.098829,0.09889461,0,0.09889461
BoE-S1,53,S1,1,T1078.002,Domain Accounts,Windows Surface for GIGA terminal,0.9,3,3,1,0.1,0.09,0,1,0.09,0,0.09889461
BoE-S1,53,S2,2,T1027.001,Binary Padding,"""AD OnPremise"",",0.9,1,1,1,0.1,0.09,0.09,1.09,0.0981,0,0.09889461
BoE-S1,53,S3,3,T1055.001,Dynamic-link Library Injection,Gakushu Server OnCloud,0.9,5,5,1,0.1,0.09,0.0981,1.0981,0.098829,0,0.09889461
BoE-S1,53,S4,4,T1486,Data Encrypted for Impact,"""Cloud Storage"",",0.9,6,6,1,0.1,0.09,0.098829,1.098829,0.09889461,0,0.09889461
BoE-S1,54,S1,1,T1078.002,Domain Accounts,Windows Surface for GIGA terminal,0.9,3,3,1,0.1,0.09,0,1,0.09,0,0.09889461
BoE-S1,54,S2,2,T1027.001,Binary Padding,"""AD OnPremise"",",0.9,1,1,1,0.1,0.09,0.09,1.09,0.0981,0,0.09889461
BoE-S1,54,S3,3,T1055.001,Dynamic-link Library Injection,Gakushu Server OnCloud,0.9,5,5,1,0.1,0.09,0.0981,1.0981,0.098829,0,0.09889461
BoE-S1,54,S4,4,T1489,Service Stop,"""Cloud Storage"",",0.9,7,7,1,0.1,0.09,0.098829,1.098829,0.09889461,0,0.09889461
